gene	s15v24hpf_mean_expression	s15v24hpf_log2_change	s24vMel_mean_expression	s24vMel_log2_change	s24vIri_mean_expression	s24vIri_log2_change	MelvIri_mean_expression	MelvIri_log2_change	genename	type	s15_Rep1	s15_Rep2	s24_Rep1	s24_Rep2	Mel_Rep1	Mel_Rep2	Iri_Rep1	Iri_Rep2	s15	s24	Mel	Iri	s15_Rep1_zscore	s15_Rep2_zscore	s24_Rep1_zscore	s24_Rep2_zscore	Mel_Rep1_zscore	Mel_Rep2_zscore	Iri_Rep1_zscore	Iri_Rep2_zscore
ENSDARG00000078935	0	0	0	0	1292.73673560717	1.54738682418619	0	0	ttll4	other	16.20509	14.248713	4.59733	7.629291	2.624712	5.429436	3.107213	2.438449	15.2269015	6.1133105	4.027074	2.772831	0.0406910562608734	0.0314789522191185	-0.0476177643978005	-0.0269558415427179	-0.0609109716016653	-0.0418557905213896	-0.0568939377500594	-0.0542267442410062
ENSDARG00000078966	0	0	1349.75562395524	2.70040752214652	1349.75562395524	2.16648695772761	0	0	rbm15b	other	12.857478	9.121769	11.689817	9.278523	1.315401	3.612136	1.918989	4.674985	10.9896235	10.48417	2.4637685	3.296987	0.00378249726287693	-0.027852059990236	0.00873511239444456	-0.0118840782908714	-0.0693442440328765	-0.0563798720911836	-0.0630279432812655	-0.0439366467379535
ENSDARG00000079000	0	0	2881.20593440109	1.55047845838175	2881.20593440109	1.58854765069519	0	0	tp53bp1	other	15.629215	13.586476	11.590913	11.878514	2.912065	10.422798	6.779131	5.314901	14.6078455	11.7347135	6.6674315	6.047016	0.034341838844706	0.0238152852212956	0.00794927733739614	0.0118763440201992	-0.0590601308671677	-0.00194823701040638	-0.0379382818113348	-0.0409924517713786
ENSDARG00000079012	0	0	0	0	853.374727449846	3.25855407703289	853.374727449846	2.68342169179931	cbfa2t3	Cofactor	8.822435	10.968304	1.612525	0.941348	0.693126	2.854478	0.390122	0.058563	9.8953695	1.2769365	1.773802	0.2243425	-0.0407052219306714	-0.0064832307949102	-0.0713333310832068	-0.0880746492895019	-0.0733523174410522	-0.062435166535693	-0.0709204607144081	-0.0651763819781811
ENSDARG00000079017	0	0	684.501483714464	2.2741677722348	0	0	0	0	tlnrd1	other	13.105018	13.010777	8.240047	7.63423	0.392155	5.838392	5.205803	4.695861	13.0578975	7.9371385	3.1152735	4.950832	0.00651170981629232	0.0171530699917332	-0.0186748023183471	-0.0269107057227115	-0.0752908717164642	-0.0385873646684997	-0.0460603216408631	-0.0438405981720132
ENSDARG00000079029	0	0	0	0	454.855375673007	4.26397938424859	454.855375673007	4.63753514148065	dhx32b	other	6.610513	6.896355	2.615319	1.598648	3.101658	4.955369	0.241429	0.016395	6.753434	2.1069835	4.0285135	0.128912	-0.0650924130495844	-0.0536054259729478	-0.063365699033969	-0.082067810963882	-0.057838962313592	-0.045644591367451	-0.0716880631904156	-0.0653703930879995
ENSDARG00000079045	0	0	0	0	0	0	204.288666586367	-3.37758387188856	opn8b	other	1.105211	0.363489	1.406501	1.45922	0.097119	1.106189	2.521623	10.01058	0.73435	1.4328605	0.601654	6.2661015	-0.125790236951754	-0.129206320464496	-0.0729702808708124	-0.0833419954368236	-0.0771911986556061	-0.0764077038402512	-0.0599169471313032	-0.0193880623258087
ENSDARG00000079049	0	0	711.828507905817	1.80055302627809	711.828507905817	2.3097985668386	0	0	cercam	other	17.457466	14.843504	7.154744	7.004185	1.752802	3.107238	1.425259	1.679923	16.150485	7.0794645	2.43002	1.552591	0.0544989269112579	0.0383621075808728	-0.0272980040586187	-0.0326684699899641	-0.0665269440982664	-0.0604150780210938	-0.0655767409414056	-0.0577166529653015
ENSDARG00000079059	0	0	0	0	521.45836177694	-2.62723191397157	521.45836177694	-2.80868097942429	retreg1	other	0.725398	1.058552	2.809881	1.951501	1.100905	3.286105	5.3922	40.486492	0.891975	2.380691	2.193505	22.939346	-0.129977804244112	-0.121162778085397	-0.0618198197938022	-0.0788432089195948	-0.0707258128147816	-0.0589855513066579	-0.0450980786387017	0.120828820377826
ENSDARG00000079062	0	0	586.763543678441	3.23807678083578	0	0	0	0	samd1b	other	4.25836	6.636343	3.342366	1.804314	0.017019	0.659472	0.926587	1.086369	5.4473515	2.57334	0.3382455	1.006478	-0.091025698559618	-0.0566143870902486	-0.0575889961632874	-0.0801883002213338	-0.0777071227727487	-0.0799779201758114	-0.0681510508411027	-0.0604475406117901
ENSDARG00000079071	0	0	125.102798418998	3.49790788229723	0	0	0	0	jam2b	other	7.971649	3.912597	0.503776	0.573524	0	0.208048	0.07015	0.141203	5.942123	0.53865	0.104024	0.1056765	-0.050085426469211	-0.0881346469528842	-0.0801428214341267	-0.0914360661467707	-0.077816742155391	-0.0835857554251168	-0.0725722620732689	-0.064796162899368
ENSDARG00000079097	0	0	1830.99100098906	3.05207794656248	0	0	1830.99100098906	-2.62507007558592	tanc2a	other	4.865885	5.487969	5.946054	4.972488	0.249802	1.808775	5.324986	4.865783	5.176927	5.459271	1.0292885	5.0953845	-0.0843275291465385	-0.0699038226321436	-0.0369015688801007	-0.0512354491557132	-0.0762077674199298	-0.0707925514857718	-0.0454450595512018	-0.0430588025971091
ENSDARG00000079166	0	0	731.245789822703	-3.68380794407119	731.245789822703	-2.86108095493861	0	0	ace	other	0.840201	0.702098	0.410058	0.281316	6.147441	5.559453	7.279545	1.481592	0.7711495	0.345687	5.853447	4.3805685	-0.128712062187193	-0.125287803953842	-0.0808874514781741	-0.0941064544222198	-0.0382210733587512	-0.0408166789198599	-0.0353549791311222	-0.0586291557499104
ENSDARG00000079191	0	0	0	0	495.058707442391	-6.54794420158019	495.058707442391	-4.40527845684085	zgc:172122	other	0.141942	0.142344	0.031919	0.051312	0.076193	1.597813	25.191982	17.773178	0.142143	0.0416155	0.837003	21.48258	-0.136410604759445	-0.131765497372814	-0.0838919293823765	-0.0962083817647512	-0.0773259830260846	-0.0724785853250537	0.0571149487910373	0.0163269408295183
ENSDARG00000079201	473.605528421658	-3.21601249004964	0	0	0	0	473.605528421658	2.04709966057021	tshz2	TF	0.295088	0.775356	2.952929	2.391411	7.74063	10.364489	2.074795	2.494708	0.535222	2.67217	9.0525595	2.2847515	-0.134722118107973	-0.124440033568125	-0.0606832415639969	-0.0748230229347729	-0.0279593426687861	-0.00241424959624972	-0.0622236211452077	-0.0539679017294507
ENSDARG00000079202	0	0	918.16533851937	1.84670399345834	918.16533851937	2.35728311806449	0	0	parp2	other	17.579044	10.446578	7.158333	6.248569	2.449717	2.374797	1.581407	1.651753	14.012811	6.703451	2.412257	1.61658	0.0558393656436613	-0.0125208492428468	-0.0272694879013374	-0.0395737843795147	-0.0620381144341167	-0.0662688351492848	-0.0647706532881628	-0.0578462605578737
ENSDARG00000079216	1357.06286437139	2.78819641373446	1357.06286437139	-2.55007139127514	1357.06286437139	-5.71234964687368	1357.06286437139	-3.16227825559854	dpep2	other	4.007619	5.65355	0.420465	0.443394	2.095417	3.878794	19.204742	28.824362	4.8305845	0.4319295	2.9871055	24.014552	-0.0937902032249486	-0.0679876541831344	-0.0808047633620342	-0.0926252793999472	-0.0643201608099419	-0.0542487090783414	0.0262068344315746	0.0671724272800724
